comparison,feature,n_subjects,baseline_mean,baseline_std,fatigue_mean,fatigue_std,mean_diff,percent_change,t_statistic,p_value,cohens_d,significant
Postural: Post-Fatigue vs Baseline,band_power_8_12,15,0.0013614022731326272,0.0009146661545554074,0.0013829564897566763,0.0012280121115141886,2.155421662404901e-05,1.5832364209626384,0.07552455458480037,0.9408659794574113,0.023565118832374297,False
Rest: Post-Fatigue vs Baseline,band_power_8_12,15,6.018377369714694e-05,4.451093997644754e-05,0.0001463156090062901,0.00024349803532553425,8.613183530914318e-05,143.1147135149259,1.3435345996961627,0.2004716581060889,1.9350711387968633,False
Postural: Post-Fatigue vs Baseline,rms,15,0.06606635376245683,0.021952390433411042,0.06330150852323839,0.023225182928108892,-0.0027648452392184386,-4.1849520697926,-0.4791008149981446,0.639263998717332,-0.12594734261879775,False
