subject,condition,rms,peak_frequency,band_power_8_12,band_power_3_8,relative_power_8_12,total_power,fs,duration,n_samples
Ari,rest,0.007801061282017035,11.391065271852366,1.758145231418239e-05,1.3351483520270248e-05,0.28661978867548726,6.134067851849622e-05,100.55561067566227,20.158,2027
Ari,post,0.05806908592515968,10.212179786606352,0.0010707636947812598,0.0012649900060289596,0.32471130061654774,0.00329758678785783,100.55069328350869,20.338,2045
Ari,fat_rest,0.01307271307278622,5.891393442622951,4.1443554298223114e-05,6.170163189139164e-05,0.25029759354254966,0.00016557711846789235,100.54644808743168,21.045,2116
Ari,fat_post,0.0580375022983209,7.855241756616884,0.0010422602167989882,0.0016760129414093538,0.30268332737594783,0.0034434014778238807,100.54709448469613,20.289,2040
Antonio,rest,0.021671374650246416,12.963970480960949,0.00011342008569776714,5.844620984851691e-05,0.24357076070144976,0.0004656555876047402,100.5689831250304,20.563,2068
Antonio,post,0.04835939164357708,7.070966904842369,0.0005742940720664739,0.0011844508315731663,0.2423281910437168,0.002369902030766488,100.56486264664703,20.713,2083
Antonio,fat_rest,0.018649322393842444,12.569798494780287,7.480181655112875e-05,9.363636244253932e-05,0.2157003372393746,0.00034678581178163405,100.55838795824229,20.595,2071
Antonio,fat_post,0.04565326265639403,4.320903438634357,0.0004531992229008196,0.0011053311872799793,0.20952555201154766,0.0021629783028842336,100.55920729912685,20.386,2050
Candela,rest,0.0076490331380228505,17.284642369908397,1.276285731684956e-05,1.689897610779647e-05,0.22084145402379443,5.779194568912064e-05,100.56519197037613,20.524,2064
Candela,post,0.050110548792335265,9.427424797531817,0.0010512419575343737,0.0008476862535058551,0.4084563088569721,0.0025736949943953097,100.55919784033938,20.744,2086
Candela,fat_rest,0.009239449042608438,11.783655223453017,2.632751261267823e-05,2.2002648523036878e-05,0.29749398586112497,8.849762974693661e-05,100.55385790679908,20.944,2106
Candela,fat_post,0.05586565582668863,7.069843025456612,0.0009088603584663416,0.0010984443135723374,0.2811479337600944,0.003232676642190367,100.54887858427179,21.134,2125
Carolina,rest,0.017160722424761157,13.752968727395476,6.793724346758708e-05,6.040126176359613e-05,0.23031025799726387,0.00029498140490292097,100.59314269180692,20.737,2086
Carolina,post,0.05380008578146611,3.9289919297581295,0.0008492102350991931,0.0013262423356002946,0.2831371173387421,0.0029992896836736793,100.58219340180811,21.127,2125
Carolina,fat_rest,0.009345776379288967,13.749907744538476,1.3599352996967638e-05,1.6342057513521076e-05,0.16878945603539264,8.056992016205122e-05,100.57075378862427,20.324,2044
Carolina,fat_post,0.04336435662709371,5.499921505168582,0.0004324608788681595,0.0010677921368506698,0.2206588150136672,0.001959862237279638,100.56999323736837,20.702,2082
Dani,rest,0.008795845686486234,11.3923614476809,1.437402534843179e-05,2.135123237450007e-05,0.19956685302098737,7.202611621540253e-05,100.56705277952794,20.633,2075
Dani,post,0.05327661594693407,9.819813027744269,0.0008343291179780665,0.00101784685820044,0.294140809845387,0.002836495617240687,100.55488540410131,20.725,2084
Dani,fat_rest,0.009349206074945908,5.106260023814152,1.8205479460587897e-05,2.843029270771767e-05,0.20940105178031265,8.69407259696464e-05,100.55404354587868,20.576,2069
Dani,fat_post,0.05998528429863427,8.248276857676432,0.0011806621021808938,0.0015510266192632852,0.3125110364920557,0.003777985300723635,100.5504226459603,20.348,2046
Diego,rest,0.024319111520752567,16.889621476315025,7.445410348325453e-05,0.00020014046145300405,0.12804920613406195,0.0005814491610772216,100.5521650682941,20.646,2076
Diego,post,0.08801301001788586,5.105769230769231,0.0017946743233180082,0.0027866945207204374,0.23135847473125665,0.007757115123630899,100.54437869822485,21.125,2124
Diego,fat_rest,0.04288082973358177,11.782878301213419,0.0009815729913007433,0.00021174460277613235,0.5269169198058603,0.0018628610211689513,100.5472281703545,21.015,2113
Diego,fat_post,0.13048617668620494,5.105796703959108,0.0033542641889344185,0.005840458728594853,0.195459781845692,0.017160891909633266,100.54491970873319,20.737,2085
Gema,rest,0.004768362991298834,10.214452005730658,6.055773465394206e-06,5.552585444463841e-06,0.2564365969818504,2.3615090578599475e-05,100.57306590257879,20.94,2106
Gema,post,0.05668256783241479,10.999543313142967,0.0007604404018494553,0.00125855674906539,0.23259606296553373,0.0032693605908632167,100.5672531487357,20.802,2092
Gema,fat_rest,0.018972722536346673,10.213695954366791,0.0002683437856219619,3.6245088638298906e-05,0.7498648584715168,0.0003578561958069872,100.56562170453456,20.862,2098
Gema,fat_post,0.05773073485050586,12.570607830830879,0.0008143304603961787,0.0011191145939647273,0.24747356580513172,0.003290575531761673,100.56486264664703,20.713,2083
Helena,rest,0.019688115638202337,12.570033041229708,0.000123588964715855,8.028509700622768e-05,0.31077182793824704,0.0003976839391645666,100.56026432983766,20.883,2100
Helena,post,0.12584909559921278,5.499111587058486,0.003984509966184851,0.005932512709743012,0.26923971304259586,0.014799116821055554,100.55518330621231,20.894,2101
